index,cameraid
0,3
1,20
2,29
3,30
4,40
5,46
6,48
7,59
8,62
9,65
10,67
11,71
12,74
13,79
14,87
15,88
16,89
17,90
18,107
19,151
20,282
21,294
22,317
23,318
24,441
25,451
26,506
27,516
28,765
29,766
30,788
31,813
32,830
33,966
34,967
35,1022
36,1031
37,1040
38,1041
39,1103
40,1105
41,1113
42,1119
43,1120
44,1128
45,1133
46,1135
47,1146
48,1153
49,1159
50,1175
51,1181
52,1182
53,1191
54,1216
55,1220
56,1224
57,1227
58,1230
59,1232
60,1244
61,1245
62,1274
63,1283
64,1301
65,1306
66,1321
67,1326
68,1333
69,1339
70,1343
71,1437
72,1457
73,1476
74,1478
75,1485
76,1520
77,1528
78,1539
79,1718
80,1750
81,1753
82,1808
83,1871
84,1885
85,2021
86,2036
87,2100
88,2101
89,2121
90,2124
91,2127
92,2130
93,2134
94,2157
95,2202
96,2209
97,2229
98,2253
99,2255
100,2261
101,2264
102,2273
103,2277
104,2278
105,2319
106,2348
107,2377
108,2400
109,2406
110,2411
111,2414
112,2418
113,2420
114,2422
115,2423
116,2424
117,2425
118,2426
119,2428
120,2429
121,2431
122,2432
123,2433
124,2435
125,2436
126,2439
127,2441
128,2468
129,2486
130,2490
131,2497
132,2498
133,2499
134,2512
135,2515
136,2521
137,2527
138,2823
139,2827
140,2839
141,2864
142,2905
143,2924
144,2925
145,2926
146,2974
147,3023
148,3025
149,3040
150,3046
151,3056
152,3060
153,3065
154,3074
155,3078
156,3079
157,3081
158,3087
159,3088
160,3090
161,3091
162,3122
163,3127
164,3131
165,3137
166,3143
167,3227
168,3338
169,3378
170,3395
171,3447
172,3471
173,3474
174,3480
175,3497
176,3507
177,3517
178,3586
179,3694
180,3695
181,3696
182,3697
183,3736
184,3793
185,3795
186,3796
187,3797
188,3864
189,3865
190,3870
191,3871
192,3911
193,3912
194,3921
195,3939
196,3967
197,3970
198,3978
199,4038
200,4051
201,4052
202,4053
203,4068
204,4071
205,4072
206,4075
207,4090
208,4091
209,4097
210,4102
211,4108
212,4109
213,4110
214,4112
215,4115
216,4116
217,4118
218,4129
219,4135
220,4209
221,4239
222,4274
223,4275
224,4276
225,4277
226,4278
227,4279
228,4305
229,4312
230,4316
231,4323
232,4326
233,4340
234,4344
235,4345
236,4357
237,4377
238,4379
239,4385
240,4387
241,4396
242,4399
243,4400
244,4427
245,4428
246,4481
247,4533
248,4534
249,4547
250,4553
251,4568
252,4576
253,4577
254,4585
255,4590
256,4591
257,4592
258,4603
259,4615
260,4618
261,4649
262,4654
263,4656
264,4674
265,4675
266,4676
267,4698
268,4722
269,4787
270,4793
271,4806
272,4810
273,4811
274,4881
275,4903
276,4920
277,4942
278,4943
279,4946
280,5090
281,5212
282,5217
283,5218
284,5219
285,5220
286,5221
287,5227
288,5237
289,5438
290,5525
291,5526
292,5527
293,5528
294,5529
295,5530
296,5531
297,5538
298,5539
299,5601
300,5657
301,5669
302,5677
303,5691
304,5701
305,5724
306,5752
307,5756
308,5762
309,5787
310,5789
311,5791
312,5792
313,5794
314,5813
315,5827
316,5832
317,5837
318,5859
319,5863
320,5891
321,5906
322,5937
323,5945
324,5957
325,5977
326,5983
327,5984
328,5985
329,5988
330,6016
331,6030
332,6031
333,6032
334,6033
335,6034
336,6095
337,6139
338,6159
339,6165
340,6171
341,6177
342,6259
343,6313
344,6326
345,6375
346,6686
347,6694
348,6705
349,6706
350,6709
351,6710
352,6713
353,6870
354,6916
355,6920
356,6940
357,6982
358,7010
359,7054
360,7057
361,7072
362,7075
363,7078
364,7079
365,7080
366,7107
367,7203
368,7259
369,7381
370,7391
371,7393
372,7456
373,7484
374,7500
375,7719
376,7721
377,7723
378,7737
379,7835
