cameraid,good
3020,3020
3023,3023
3024,3024
3036,3036
3037,3037
3038,3038
3039,3039
3042,3042
3043,3043
3047,3047
3049,3049
3051,3051
3054,3054
3055,3055
3056,3056
3059,3059
3061,3061
3062,3062
3064,3064
3065,3065
3067,3067
3068,3068
3069,3069
3071,3071
3073,3073
3074,3074
3076,3076
3081,3081
3085,3085
3087,3087
3088,3088
3089,3089
3090,3090
3091,3091
3092,3092
3098,3098
3099,3099
3100,3100
3103,3103
3104,3104
3106,3106
3109,3109
3111,3111
3113,3113
3114,3114
3115,3115
3117,3117
3118,3118
3120,3120
3123,3123
3126,3126
3128,3128
3129,3129
3130,3130
3133,3133
3134,3134
3136,3136
3137,3137
3138,3138
3139,3139
3140,3140
3147,3147
3148,3148
3149,3149
3151,3151
3152,3152
3155,3155
3156,3156
3158,3158
3159,3159
3160,3160
3181,3181
3215,3215
3233,3233
3236,3236
3237,3237
3251,3251
3255,3255
3308,3308
3317,3317
3319,3319
3326,3326
3329,3329
3332,3332
3334,3334
3342,3342
3347,3347
3353,3353
3367,3367
3418,3418
3432,3432
3435,3435
3436,3436
3440,3440
3481,3481
3488,3488
3581,3581
3595,3595
3602,3602
3606,3606
3608,3608
3612,3612
3617,3617
3619,3619
3621,3621
3624,3624
3625,3625
3627,3627
3641,3641
3643,3643
3645,3645
3647,3647
3657,3657
3660,3660
3663,3663
3667,3667
3673,3673
3679,3679
3681,3681
3683,3683
3684,3684
3685,3685
3687,3687
3690,3690
3691,3691
3751,3751
3767,3767
3781,3781
3786,3786
3861,3861
3862,3862
3868,3868
3875,3875
3878,3878
3885,3885
3894,3894
3901,3901
3903,3903
3920,3920
3921,3921
3925,3925
3927,3927
3931,3931
3936,3936
3937,3937
3944,3944
3945,3945
3950,3950
3951,3951
3953,3953
3957,3957
3958,3958
3959,3959
3960,3960
3961,3961
3962,3962
3965,3965
3966,3966
3968,3968
3972,3972
3973,3973
3974,3974
3975,3975
3976,3976
3977,3977
3979,3979
