cameraid,old_cameraid,name,url,latitude,longitude,last_width,last_height,mhash
1,19,VT,http://www.hazecam.net/images/main/burlington_right.jpg,44.478739,-73.19164,500,250,1
2,64,Anthem school,http://wwc.instacam.com/instacamimg/PHNAS/PHNAS_l.jpg,33.2765,-112.1872,1280,720,2
4,73,College of the Canyons,http://wwc.instacam.com/instacamimg/CLLCN/CLLCN_l.jpg,34.4044820734014,-118.569055939865,1280,1024,4
5,75,Borrego Springs HS,http://wwc.instacam.com/instacamimg/BORYO/BORYO_l.jpg,33.2648176,-116.3834183,1280,720,5
8,108,KOAA News First Cams,http://wwc.instacam.com/instacamimg/KOAAT/KOAAT_l.jpg,38.2886723,-104.6237902,1280,720,8
10,120,Dolphins Stadium,http://wwc.instacam.com/instacamimg/PROPL/PROPL_l.jpg,25.9484,-80.2479,1280,720,10
11,124,Cypress Bay HS,http://wwc.instacam.com/instacamimg/WSTNN/WSTNN_l.jpg,26.0596,-80.4146,1280,720,11
13,161,WeatherBug Cam: Northern Illinois University,http://wwc.instacam.com/instacamimg/DLKLB/DLKLB_l.jpg,41.935416,-88.7710424,1280,720,13
15,165,Beecher ES,http://wwc.instacam.com/instacamimg/BCHRS/BCHRS_l.jpg,41.34059,-87.6214286,640,480,15
16,180,WSIL TV 3,http://wwc.instacam.com/instacamimg/WSILT/WSILT_l.jpg,37.7465856027811,-89.052629882209,1280,720,16
17,198,Western Intermediate School,http://wwc.instacam.com/instacamimg/RSSVL/RSSVL_l.jpg,40.436786195693,-86.2436611148834,640,480,17
18,203,Tri-County M - SHS,http://wwc.instacam.com/instacamimg/WLCTT/WLCTT_l.jpg,40.7265,-86.9894,1280,720,18
19,204,Indiana - Notre Dame Dome And Basilica,http://www.nd.edu/~webcam/domecam.jpg,41.7024946940213,-86.2378195221901,1280,720,19
20,205,Fort Scott MS,http://wwc.instacam.com/instacamimg/FRTSC/FRTSC_l.jpg,37.8216,-94.7147,640,480,20
21,207,WeatherBug Cam: Pittsburg Middle School,http://wwc.instacam.com/instacamimg/PTSBG/PTSBG_l.jpg,37.4194954,-94.7048337,640,480,21
22,210,WeatherBug Cam: Parsons High School,http://wwc.instacam.com/instacamimg/PARNS/PARNS_l.jpg,37.3321388,-95.2816702,640,480,22
23,251,WeatherBug Headquarters,http://wwc.instacam.com/instacamimg/AWSHQ/AWSHQ_l.jpg,39.2009241,-77.2630048,1280,720,23
24,257,St. Marys ES,http://wwc.instacam.com/instacamimg/ANNAS/ANNAS_l.jpg,38.9673,-76.6101,1280,720,24
25,259,Northern HS,http://wwc.instacam.com/instacamimg/ACDNT/ACDNT_l.jpg,39.5894,-79.2309,1280,720,25
26,260,Frostburg State University,http://wwc.instacam.com/instacamimg/FRSTB/FRSTB_l.jpg,39.6421,-78.9125,1280,720,26
27,263,Crestwood Middle School,http://wwc.instacam.com/instacamimg/FRDCM/FRDCM_l.jpg,39.3934893,-77.4229503,1280,720,27
29,267,Glenelg Country School,http://wwc.instacam.com/instacamimg/GLNLG/GLNLG_l.jpg,39.2597,-77.0126,640,480,29
30,269,The Greens,http://wwc.instacam.com/instacamimg/IJAMS/IJAMS_s.jpg,39.3078834358581,-110.83256040485,640,360,30
31,270,Middletown Valley,http://wwc.instacam.com/instacamimg/MIDTN/MIDTN_l.jpg,39.4309346,-77.5452658,1280,720,31
32,271,Summit Ridge,http://wwc.instacam.com/instacamimg/MTAIR/MTAIR_l.jpg,39.4072,-77.214,1280,720,32
33,273,Cecil Community College,http://wwc.instacam.com/instacamimg/NRTHU/NRTHU_l.jpg,39.5351,-75.894,1280,720,33
34,280,Montcalm Area ISD (WILX TV 10 WeatherNet),http://wwc.instacam.com/instacamimg/STNTN/STNTN_l.jpg,43.2893,-85.0595,1280,720,34
