ID,name,url,latitude,longitude,cameraid,last_width,last_height,rating,inuse
37,Baltimore Maryland,http://www.hazecam.net/images/main/baltimore_right.jpg?,39.2903848,-76.6121893,3020,500,250,1,0
38,Blue Hill Observatory Massachusetts,http://www.hazecam.net/images/main/bluehill_right.jpg?,42.211991,-71.114185,3021,500,250,0,0
39,Cape Cod Bay,http://summerhome.com/baycam/image.jpg?,0.0,0.0,3022,704,480,0,0
40,Frostburg Maryland,http://www.hazecam.net/images/main/frostburg.jpg?,0.0,0.0,3023,500,300,1,0
41,Seney Wildlife Refuge MI,http://www.mwhazecam.net/images/photos-main/seney.jpg?,46.289544,-85.947588,3024,640,480,1,0
42,University of Maine at Presque Isle,http://www.micmacweather.com/netcam/large/thumb.php?src=netcam.jpg&amp,0.0,46.6694136,3025,328,1023,0,0
43,I-5 at Pine Street,http://images.wsdot.wa.gov/nw/005vc18997.jpg,47.61249932,-122.3295879,3026,335,249,0,0
44,W Lk Samm Pkwy,http://images.wsdot.wa.gov/nw/520vc01169.jpg,47.667073,-122.129625,3027,335,249,0,0
45,SR 900,http://images.wsdot.wa.gov/nw/090vc01581.jpg,47.548543,-122.061513,3028,335,249,0,0
46,E Lk Samm Pkwy,http://images.wsdot.wa.gov/nw/202vc00817.jpg,47.6661,-122.100093,3029,335,249,0,0
47,Sahalee Way,http://images.wsdot.wa.gov/nw/202vc01027.jpg,47.656524,-122.062826,3030,335,249,0,0
48,124th Ave NE,http://images.wsdot.wa.gov/nw/520vc00760.jpg,47.630691,-122.175253,3031,335,249,0,0
49,NE 51st St,http://images.wsdot.wa.gov/nw/520vc01074.jpg,47.654349,-122.138203,3032,335,249,0,0
50,SR 520: West Lake Sammamish Parkway,http://images.wsdot.wa.gov/nw/520vc01169.jpg,47.667212,-122.126897,3033,335,249,0,0
51,augistine-webcam Est,http://www.avo.alaska.edu/webcam/augtst.jpg,59.357608,-153.344765,3034,1296,960,0,0
52,augustine-webcam Lagoon,http://www.avo.alaska.edu/webcam/aug_lagoon.jpg,59.376239,-153.547668,3035,320,240,0,0
53,Carlisle Volcano Alaska Volcano Observatory: Cleveland Cam,http://www.cfht.hawaii.edu/webcams/gemdome/gemdome.jpg,52.9,-170.1,3036,704,494,1,0
54,Craters of the Moon Tom Cat Summit Highway Cam 1,http://birice.vaisala.com/photos/02F75DC9_061CC258_cam1.jpg,43.4,-113.5,3037,640,480,1,0
55,augustine-webcam Homer,http://www.avo.alaska.edu/webcam/augustine.jpg,59.651092,-151.534424,3038,1280,960,1,0
56,Mount Hood KGW-TV Timberline SkyCam,http://w3.gorge.net/niknas/webcam.jpg,45.4,-121.7,3039,1280,720,1,0
57,peulik Et Chiginagak-webcam Du Mont Whale,http://www.avo.alaska.edu/webcam/peulik.jpg,58.045911,-156.346607,3040,640,480,0,0
58,Trout Lake,http://www.petries.net/troutlake/camera0.jpg,45.998,-121.531,3041,1024,768,0,0
59,Mount Spurr Alaska Volcano Observatory: Mount Spurr CKT Cam,http://www.avo.alaska.edu/webcam/a-spurr.jpg,61.3,-152.3,3042,512,384,1,0
60,shishaldin-webcam Avo,http://www.avo.alaska.edu/webcam/shishaldin.jpg,54.709152,-163.703842,3043,1024,768,1,0
61,redoubt-webcam Dfr,http://www.avo.alaska.edu/webcam/redoubt-3.jpg,60.520806,-152.641296,3044,640,480,0,0
62,Asozan Volcano Aso Webcam,http://www.uty.co.jp/live/snap.jpg,35.4915542267193,138.603000951303,3045,640,480,0,0
63,Fujisan Mt Fuji from Gotemba,http://www.pref.shizuoka.jp/~live/shimizu/m.jpg,35.4,138.7,3046,320,240,0,0
64,Hamilton KTVQ,http://montint.cordillera.tv/Missoula/Cameras/Hamilton.jpg,46.248353,-114.159722,3047,640,480,1,0
65,Addo Elephant National Park,http://gardenia.sanparks.org/webcams/addo.jpg,-33.45,25.73,3048,384,308,0,0
66,Swakopmund Beach Webcam updates every 5 minutes - View SouthWest,http://weather.namsearch.com/swkmolecam.jpg,-23.08,14.81,3049,1280,720,1,0
67,Windhoek Webcam updates every 5 minutes - View NorthEast,http://weather.namsearch.com/windhoekwebcam.jpg,-22.5739716,17.0785144,3050,640,480,0,0
68,Hakusembe River Lodge Webcam automatically updates every 5 minutes - View North-West over Okavango river,http://weather.namsearch.com/hakusembe/Hakusembe.jpg,-17.859,19.677,3051,1920,1080,1,0
69,Craiova Centru,http://82.77.65.43:8207/record/current.jpg,44.3179220934463,23.7948162178993,3052,640,480,0,0
70,"The Beach of Maspalomas, Gran Canaria",http://www.playademaspalomas.com/meteo/playa.jpg,27.738,-15.581,3053,800,600,0,0
