cameraid,name,url,latitude,longitude,last_width,last_height,mhash
1,VT,http://www.hazecam.net/images/main/burlington_right.jpg,44.478739,-73.19164,500,250,72485842c6a5ae969201856f73abda7f
2,Anthem school,http://wwc.instacam.com/instacamimg/PHNAS/PHNAS_l.jpg,33.2765,-112.1872,1280,720,9fd84b21315ebc1bd73ff7bec3a396fe
3,Coolidge High School,http://wwc.instacam.com/instacamimg/CLDGE/CLDGE_l.jpg,39.075880734474,-76.868118734,1280,720,71ae57046fd2e3e2ef5ce1c286c2103f
4,College of the Canyons,http://wwc.instacam.com/instacamimg/CLLCN/CLLCN_l.jpg,34.4044820734014,-118.569055939865,1280,1024,14f7fb18bb13f0cc3506f14d72a1bc7e
5,Borrego Springs HS,http://wwc.instacam.com/instacamimg/BORYO/BORYO_l.jpg,33.2648176,-116.3834183,1280,720,eff30add7125a1622e780cc26c6485cc
6,Potrero Hill,http://wwc.instacam.com/instacamimg/SANFR/SANFR_l.jpg,37.7603145925262,-122.422996428,1280,720,8af14580a069b705c28a1bc3fcc08ec2
7,City of Cripple Creek,http://wwc.instacam.com/instacamimg/CRPCK/CRPCK_l.jpg,38.8261,-105.1499,1280,720,24d284d6b4555ef7bc894490e379f233
8,KOAA News First Cams,http://wwc.instacam.com/instacamimg/KOAAT/KOAAT_l.jpg,38.2886723,-104.6237902,1280,720,ebc51e3127aef5885fa9b299a9acfdab
9,Aspen ES/MS,http://wwc.instacam.com/instacamimg/ASPEN/ASPEN_l.jpg,0,0,640,480,5825c86cafa5d10ad44cfa53353ef214
10,Dolphins Stadium,http://wwc.instacam.com/instacamimg/PROPL/PROPL_l.jpg,25.9484,-80.2479,1280,720,92e826ac2767a3e4c9a29eefdf24a133
11,Cypress Bay HS,http://wwc.instacam.com/instacamimg/WSTNN/WSTNN_l.jpg,26.0596,-80.4146,1280,720,eab3bad8c10bd6a07755f5b87a9a8eba
12,Top of Stone Mountain,http://wwc.instacam.com/instacamimg/STNMN/STNMN_l.jpg,33.8056204105805,-84.1459873160362,1280,720,bd31c67bdf364946b8a45f054727ced5
13,WeatherBug Cam: Northern Illinois University,http://wwc.instacam.com/instacamimg/DLKLB/DLKLB_l.jpg,41.935416,-88.7710424,1280,720,b0e20f6b88a6c894fd064093170c8178
14,WeatherBug Cam: Geneva Middle School,http://wwc.instacam.com/instacamimg/GENEA/GENEA_l.jpg,41.873543,-88.354393,1280,720,b1334f14a3addf6554dc4024543cabcc
15,Beecher ES,http://wwc.instacam.com/instacamimg/BCHRS/BCHRS_l.jpg,41.34059,-87.6214286,640,480,d476faab93954883b0ef2700fb3abd6d
16,WSIL TV 3,http://wwc.instacam.com/instacamimg/WSILT/WSILT_l.jpg,37.7465856027811,-89.052629882209,1280,720,9ad95e96702c940dce70979cd97dae89
17,Western Intermediate School,http://wwc.instacam.com/instacamimg/RSSVL/RSSVL_l.jpg,40.436786195693,-86.2436611148834,640,480,15e9396bcc6e78871a6b7f1bce973e19
18,Tri-County M - SHS,http://wwc.instacam.com/instacamimg/WLCTT/WLCTT_l.jpg,40.7265,-86.9894,1280,720,48475a91b81db8b872b0e52d29312a6d
19,Indiana - Notre Dame Dome And Basilica,http://www.nd.edu/~webcam/domecam.jpg,41.7024946940213,-86.2378195221901,1280,720,0d770525595cf5f4ab689572574917ea
20,Fort Scott MS,http://wwc.instacam.com/instacamimg/FRTSC/FRTSC_l.jpg,37.8216,-94.7147,640,480,fc95f93ecf43076f194eb334337cfb4c
21,WeatherBug Cam: Pittsburg Middle School,http://wwc.instacam.com/instacamimg/PTSBG/PTSBG_l.jpg,37.4194954,-94.7048337,640,480,ce7988579c4e37c6fc088296b8856fc0
22,WeatherBug Cam: Parsons High School,http://wwc.instacam.com/instacamimg/PARNS/PARNS_l.jpg,37.3321388,-95.2816702,640,480,ac07f2d92216253095cfbb8dcedeb093
